node,degree_centrality,betweenness_centrality,community
94,0.02195225916453538,0.02851285080694834,497
111,0.0009377664109121909,0.00017501597337142756,497
126,0.0007246376811594203,0.00033063180817230985,67
127,0.0002557544757033248,0.00010914270849671788,67
125,8.525149190110827e-05,3.836644201250503e-05,67
129,0.0007672634271099744,0.000480575892096027,10
128,8.525149190110827e-05,2.0849488439335294e-06,67
131,0.00017050298380221653,0.00011509932603751509,67
132,0.0001278772378516624,0.0,67
136,4.262574595055413e-05,0.0,7
23962,4.262574595055413e-05,0.0,7
142,0.00196078431372549,0.0014553143150636456,407
182,0.00017050298380221653,0.0001807622356515132,10
173,4.262574595055413e-05,0.0,407
158,4.262574595055413e-05,0.0,407
168,4.262574595055413e-05,0.0,407
160,0.0002557544757033248,0.00037768242402492136,67
161,0.00017050298380221653,5.5391341428700896e-05,407
166,4.262574595055413e-05,0.0,407
180,4.262574595055413e-05,0.0,407
86,0.00029838022165387895,0.00011509932603751509,407
147,4.262574595055413e-05,0.0,407
162,0.00017050298380221653,0.0002950735535111665,315
146,4.262574595055413e-05,0.0,407
152,8.525149190110827e-05,7.673288402501007e-05,407
157,4.262574595055413e-05,0.0,407
149,4.262574595055413e-05,0.0,407
167,8.525149190110827e-05,0.0,67
181,4.262574595055413e-05,0.0,407
184,4.262574595055413e-05,0.0,407
175,4.262574595055413e-05,0.0,407
172,4.262574595055413e-05,0.0,407
176,0.00017050298380221653,3.836644201250503e-05,407
154,4.262574595055413e-05,0.0,407
148,0.0002557544757033248,0.00046185605462052047,10
183,0.0002557544757033248,1.8556586044311078e-05,407
169,4.262574595055413e-05,0.0,407
177,4.262574595055413e-05,0.0,407
155,4.262574595055413e-05,0.0,407
153,4.262574595055413e-05,0.0,407
143,0.0007672634271099744,0.0007712544566122225,11
144,0.0003836317135549872,0.0003657991906702934,407
178,4.262574595055413e-05,0.0,407
141,0.00021312872975277067,4.313900125990675e-05,67
151,8.525149190110827e-05,8.636154122821083e-05,407
170,8.525149190110827e-05,0.0,407
163,4.262574595055413e-05,0.0,407
159,4.262574595055413e-05,0.0,407
150,4.262574595055413e-05,0.0,407
165,4.262574595055413e-05,0.0,407
145,4.262574595055413e-05,0.0,407
174,4.262574595055413e-05,0.0,407
171,4.262574595055413e-05,0.0,407
164,0.00017050298380221653,8.118758621032908e-05,67
156,4.262574595055413e-05,0.0,407
179,4.262574595055413e-05,0.0,407
186,8.525149190110827e-05,0.0,8
187,4.262574595055413e-05,0.0,9
1320,4.262574595055413e-05,0.0,9
194,0.0003836317135549872,0.0010162898831138636,67
15046,0.0018329070758738278,0.0020292550288093323,67
214,0.00034100596760443307,5.438528623414287e-05,67
208,4.262574595055413e-05,0.0,67
219,0.0001278772378516624,3.973114350790279e-05,67
211,4.262574595055413e-05,0.0,67
191,4.262574595055413e-05,0.0,67
85,0.00021312872975277067,0.0001324688107073068,67
199,4.262574595055413e-05,0.0,67
193,4.262574595055413e-05,0.0,67
212,4.262574595055413e-05,0.0,67
207,4.262574595055413e-05,0.0,67
203,8.525149190110827e-05,2.3157831630457023e-05,10
218,0.0001278772378516624,0.00011099182180397979,67
223,0.0001278772378516624,4.517719295672898e-05,67
220,4.262574595055413e-05,0.0,67
196,4.262574595055413e-05,0.0,67
200,4.262574595055413e-05,0.0,67
189,0.0001278772378516624,4.188189389189028e-05,67
224,0.0001278772378516624,1.6209078991814138e-05,67
197,4.262574595055413e-05,0.0,67
206,4.262574595055413e-05,0.0,67
201,4.262574595055413e-05,0.0,67
216,4.262574595055413e-05,0.0,67
215,0.0001278772378516624,5.918788499508704e-06,67
71,0.06491901108269395,0.12066208787967417,10
221,4.262574595055413e-05,0.0,67
202,4.262574595055413e-05,0.0,67
205,4.262574595055413e-05,0.0,67
192,4.262574595055413e-05,0.0,67
210,0.0001278772378516624,0.00013684267252301287,0
217,4.262574595055413e-05,0.0,67
198,8.525149190110827e-05,5.371142582485358e-05,67
213,4.262574595055413e-05,0.0,67
204,0.00021312872975277067,8.603225652167573e-05,10
190,0.00017050298380221653,1.6880896157089404e-05,67
195,8.525149190110827e-05,3.836644201250503e-05,67
209,4.262574595055413e-05,0.0,67
222,0.0002557544757033248,0.0002301181927047325,67
225,0.0001278772378516624,2.160614845337866e-05,3
35500,8.525149190110827e-05,1.0930610259972943e-07,3
226,0.0015345268542199487,0.0011985824447326467,67
251,4.262574595055413e-05,0.0,67
238,4.262574595055413e-05,0.0,67
239,4.262574595055413e-05,0.0,67
